history_id,seed,history_number,n_records,scenario,query_number,query_id,target_evidence_id,query_sha256,method,routing_vectors_scored,route_ms,total_search_ms,evidence_recalled,oracle_reader_correct,predicted_evidence_id,records_read,raw_vectors_scored,leaf_blocks_read,read_score_ms
n256_seed17_history0,17,0,256,random_keys,3,n256_seed17_history0_q3,229,3f67e54538b79a0561d9c61e3163a676ad5383e64acffaa3ddd2465b88bf2195,flat_1,16,0.002125,0.007,1,1,229,16,16,1,0.004875
n256_seed17_history0,17,0,256,random_keys,3,n256_seed17_history0_q3,229,3f67e54538b79a0561d9c61e3163a676ad5383e64acffaa3ddd2465b88bf2195,flat_2,16,0.0015,0.005792,1,1,229,32,32,2,0.004292
n256_seed17_history0,17,0,256,random_keys,3,n256_seed17_history0_q3,229,3f67e54538b79a0561d9c61e3163a676ad5383e64acffaa3ddd2465b88bf2195,flat_4,16,0.001917,0.0077080000000000004,1,1,229,64,64,4,0.005791
n256_seed17_history0,17,0,256,random_keys,3,n256_seed17_history0_q3,229,3f67e54538b79a0561d9c61e3163a676ad5383e64acffaa3ddd2465b88bf2195,tree_beam_1,8,0.008416,0.013457,1,1,229,16,16,1,0.005041
n256_seed17_history0,17,0,256,random_keys,3,n256_seed17_history0_q3,229,3f67e54538b79a0561d9c61e3163a676ad5383e64acffaa3ddd2465b88bf2195,tree_beam_2,12,0.008208,0.013749,1,1,229,32,32,2,0.005541
n256_seed17_history0,17,0,256,random_keys,3,n256_seed17_history0_q3,229,3f67e54538b79a0561d9c61e3163a676ad5383e64acffaa3ddd2465b88bf2195,tree_beam_4,20,0.007959,0.013293000000000001,1,1,229,64,64,4,0.005334
n256_seed17_history0,17,0,256,random_keys,4,n256_seed17_history0_q4,85,5f30118b33a94eb9852d95e1af6be93fc002cf3251b3337da89cfe493b9ed37b,raw_full_scan,0,0.000417,0.008501,1,1,85,256,256,16,0.008084
n256_seed17_history0,17,0,256,random_keys,4,n256_seed17_history0_q4,85,5f30118b33a94eb9852d95e1af6be93fc002cf3251b3337da89cfe493b9ed37b,flat_1,16,0.00175,0.005583,0,0,181,16,16,1,0.003833
n256_seed17_history0,17,0,256,random_keys,4,n256_seed17_history0_q4,85,5f30118b33a94eb9852d95e1af6be93fc002cf3251b3337da89cfe493b9ed37b,flat_2,16,0.001459,0.005542,0,0,181,32,32,2,0.004083
n256_seed17_history0,17,0,256,random_keys,4,n256_seed17_history0_q4,85,5f30118b33a94eb9852d95e1af6be93fc002cf3251b3337da89cfe493b9ed37b,flat_4,16,0.001375,0.006999999999999999,1,1,85,64,64,4,0.005625
