n_records,scenario,method,queries,independent_histories,evidence_recalled_mean,oracle_reader_correct_mean,routing_vectors_scored_mean,records_read_mean,raw_vectors_scored_mean,leaf_blocks_read_mean,route_ms_mean,read_score_ms_mean,total_search_ms_mean,total_search_ms_median
256,random_keys,raw_full_scan,180,9,1.0,1.0,0.0,256.0,256.0,16.0,0.00035994999999999994,0.009609444444444443,0.009969394444444444,0.009583
256,random_keys,flat_1,180,9,0.5222222222222223,0.5222222222222223,16.0,16.0,16.0,1.0,0.0030636277777777777,0.004787055555555555,0.007850683333333332,0.006959
256,random_keys,flat_2,180,9,0.6944444444444444,0.6944444444444444,16.0,32.0,32.0,2.0,0.0018138944444444443,0.004884527777777777,0.006698422222222222,0.0070420000000000005
256,random_keys,flat_4,180,9,0.8388888888888889,0.8388888888888889,16.0,64.0,64.0,4.0,0.0014717777777777774,0.0054453555555555545,0.006917133333333334,0.00675
256,random_keys,tree_beam_1,180,9,0.40555555555555556,0.40555555555555556,8.0,16.0,16.0,1.0,0.0076840277777777775,0.004525894444444444,0.012209922222222223,0.012709000000000002
256,random_keys,tree_beam_2,180,9,0.6055555555555555,0.6055555555555555,12.0,32.0,32.0,2.0,0.007526161111111112,0.00465835,0.01218451111111111,0.012917000000000001
256,random_keys,tree_beam_4,180,9,0.8388888888888889,0.8388888888888889,20.0,64.0,64.0,4.0,0.006911827777777779,0.005352538888888887,0.012264366666666667,0.012208
256,topic_grouped,raw_full_scan,180,9,1.0,1.0,0.0,256.0,256.0,16.0,0.0003525333333333333,0.008899505555555553,0.009252038888888888,0.009500999999999999
256,topic_grouped,flat_1,180,9,1.0,1.0,16.0,16.0,16.0,1.0,0.0019474222222222223,0.0046541944444444434,0.006601616666666667,0.0069165
256,topic_grouped,flat_2,180,9,1.0,1.0,16.0,32.0,32.0,2.0,0.0018078999999999999,0.004828738888888888,0.006636638888888889,0.007041
256,topic_grouped,flat_4,180,9,1.0,1.0,16.0,64.0,64.0,4.0,0.0014400111111111111,0.005249538888888888,0.00668955,0.006667
256,topic_grouped,tree_beam_1,180,9,0.9555555555555556,0.9555555555555556,8.0,16.0,16.0,1.0,0.007691233333333333,0.004509677777777777,0.012200911111111112,0.0127075
256,topic_grouped,tree_beam_2,180,9,1.0,1.0,12.0,32.0,32.0,2.0,0.007561399999999999,0.004734438888888888,0.012295838888888886,0.012834000000000002
256,topic_grouped,tree_beam_4,180,9,1.0,1.0,20.0,64.0,64.0,4.0,0.006996061111111112,0.005226422222222221,0.01222248333333333,0.0122915
256,topic_shuffled,raw_full_scan,180,9,1.0,1.0,0.0,256.0,256.0,16.0,0.0003539,0.008942799999999999,0.0092967,0.009542
256,topic_shuffled,flat_1,180,9,0.2722222222222222,0.2722222222222222,16.0,16.0,16.0,1.0,0.0019821500000000002,0.0047199055555555555,0.006702055555555555,0.006958000000000001
256,topic_shuffled,flat_2,180,9,0.4111111111111111,0.4111111111111111,16.0,32.0,32.0,2.0,0.001821727777777778,0.004889344444444443,0.006711072222222223,0.0070825
256,topic_shuffled,flat_4,180,9,0.6444444444444445,0.6444444444444445,16.0,64.0,64.0,4.0,0.001438233333333333,0.0054039388888888875,0.006842172222222221,0.006667
256,topic_shuffled,tree_beam_1,180,9,0.2,0.2,8.0,16.0,16.0,1.0,0.00770905,0.004526327777777777,0.012235377777777777,0.012708
256,topic_shuffled,tree_beam_2,180,9,0.39444444444444443,0.39444444444444443,12.0,32.0,32.0,2.0,0.007554433333333333,0.004768005555555555,0.01232243888888889,0.012876
256,topic_shuffled,tree_beam_4,180,9,0.6444444444444445,0.6444444444444445,20.0,64.0,64.0,4.0,0.006929416666666668,0.0052261777777777765,0.012155594444444444,0.012291
1024,random_keys,raw_full_scan,180,9,1.0,1.0,0.0,1024.0,1024.0,64.0,0.00041314444444444446,0.02031268888888889,0.02072583333333333,0.0205825
1024,random_keys,flat_1,180,9,0.25555555555555554,0.25555555555555554,64.0,16.0,16.0,1.0,0.0036090222222222223,0.004601638888888889,0.008210661111111111,0.0078335
1024,random_keys,flat_2,180,9,0.42777777777777776,0.42777777777777776,64.0,32.0,32.0,2.0,0.002764555555555555,0.005488633333333333,0.00825318888888889,0.008125
