history_id,n_records,scenario,build_ms,index_vector_bytes,raw_storage_bytes,levels_including_root,canonical_archive_sha256,index_vectors
n1024_seed17_history2,1024,topic_shuffled,0.033,21760,278528,4,caabc35b752a210fea1fa3d84162c1a8226142a2a9985de507d4e507a6812c56,85
n1024_seed41_history0,1024,random_keys,0.038291,21760,278528,4,9e2c33b85c0d2375608ff749d5419c9cd783c1e57e81f6bb34467725f50fbf1a,85
n1024_seed41_history0,1024,topic_grouped,0.033417,21760,278528,4,f529256c931a8823bf524a4e00de25e3cce1dcd401fbacb49389ee38f19a7392,85
n1024_seed41_history0,1024,topic_shuffled,0.032292,21760,278528,4,f529256c931a8823bf524a4e00de25e3cce1dcd401fbacb49389ee38f19a7392,85
n1024_seed41_history1,1024,random_keys,0.03625,21760,278528,4,d3a5f9987d1e75fe7c3d58adde0c456d752eb104ace913e7b2224d8234fb69d5,85
n1024_seed41_history1,1024,topic_grouped,0.031958,21760,278528,4,1cd0035e8a96aaaa488e675fadfee66c32bb39630be5d172dea91a5fdd7fe78c,85
n1024_seed41_history1,1024,topic_shuffled,0.031083,21760,278528,4,1cd0035e8a96aaaa488e675fadfee66c32bb39630be5d172dea91a5fdd7fe78c,85
n1024_seed41_history2,1024,random_keys,0.035833,21760,278528,4,d777659b5b1fb1ae608a7db711b1eba1e3a66d8428d4e88c4838aa7aca5f5ad4,85
n1024_seed41_history2,1024,topic_grouped,0.03275,21760,278528,4,48d0cdd114ce759cec06c5ba81c0366aa6737e0daba7fc27cb23cdbd9b236b5c,85
n1024_seed41_history2,1024,topic_shuffled,0.031917,21760,278528,4,48d0cdd114ce759cec06c5ba81c0366aa6737e0daba7fc27cb23cdbd9b236b5c,85
n1024_seed83_history0,1024,random_keys,0.035708,21760,278528,4,85d29d3b713b0ff4e33f2f05e14cb05dda7543f0d122d5463ebf914efa09505c,85
n1024_seed83_history0,1024,topic_grouped,0.032625,21760,278528,4,9c38112e01c1bd6a9cd1b674a7403cc3599ab6460eb16e71fd0546849f998e66,85
n1024_seed83_history0,1024,topic_shuffled,0.031959,21760,278528,4,9c38112e01c1bd6a9cd1b674a7403cc3599ab6460eb16e71fd0546849f998e66,85
n1024_seed83_history1,1024,random_keys,0.039666,21760,278528,4,249012020c2b7720354fd1c496f549ffd0347371833808dfa3d4268b3118f47d,85
n1024_seed83_history1,1024,topic_grouped,0.0325,21760,278528,4,0fae91842fbabb858a420ee16c9b726a5de52f4e4dca10126460c8e7eceb90c3,85
n1024_seed83_history1,1024,topic_shuffled,0.030875,21760,278528,4,0fae91842fbabb858a420ee16c9b726a5de52f4e4dca10126460c8e7eceb90c3,85
n1024_seed83_history2,1024,random_keys,0.04425,21760,278528,4,e4d623fcbab63b1027e60bc56dc7cd5bff2ec084cf79345a549c78f9ca0ad043,85
n1024_seed83_history2,1024,topic_grouped,0.034041,21760,278528,4,52ba5509d88c74a57b12921aaefc2a370140fbff25686fc78c8d1034e18c2a84,85
n1024_seed83_history2,1024,topic_shuffled,0.031708,21760,278528,4,52ba5509d88c74a57b12921aaefc2a370140fbff25686fc78c8d1034e18c2a84,85
n4096_seed17_history0,4096,random_keys,0.093625,87296,1114112,5,ea11ee78dc4adfb476c21020460fed8e8eebe28ac48549e888d2829f6b93786e,341
n4096_seed17_history0,4096,topic_grouped,0.082209,87296,1114112,5,4b00b56a673b9227fa83c15a97f3cb16280a790eedd2421bd5088b1df62f339e,341
n4096_seed17_history0,4096,topic_shuffled,0.081625,87296,1114112,5,4b00b56a673b9227fa83c15a97f3cb16280a790eedd2421bd5088b1df62f339e,341
n4096_seed17_history1,4096,random_keys,0.088333,87296,1114112,5,188b4c31f0d06a6d40dd7bfbde56824c77ee33dfd6f52972f996708fc3039548,341
n4096_seed17_history1,4096,topic_grouped,0.084,87296,1114112,5,38fc75dc56314a3fae9e84a26a67d8289a8b4db033bde5deccbf96606dd2ef93,341
n4096_seed17_history1,4096,topic_shuffled,0.080583,87296,1114112,5,38fc75dc56314a3fae9e84a26a67d8289a8b4db033bde5deccbf96606dd2ef93,341
n4096_seed17_history2,4096,random_keys,0.087,87296,1114112,5,c464cb3321326ae4e2e083b738012ecd617900c553db54f107eb72cfc1fdff41,341
n4096_seed17_history2,4096,topic_grouped,0.083042,87296,1114112,5,9f489cb2777bc16fdef5bf8068d389fa056be50c002fe7c3b2db538eda6c2178,341
n4096_seed17_history2,4096,topic_shuffled,0.082458,87296,1114112,5,9f489cb2777bc16fdef5bf8068d389fa056be50c002fe7c3b2db538eda6c2178,341
n4096_seed41_history0,4096,random_keys,0.087709,87296,1114112,5,03ea5581759daa22ec7fb1713c0bf5e7aac5ba09640a3c0a6baa58d84e191b81,341
n4096_seed41_history0,4096,topic_grouped,0.081375,87296,1114112,5,4be6876177b159e2f58c06b0f996fbe3f0d691b216ea4be4ccc4f53dca5001f2,341
