policy,n,future_useful_retention,q2_future_useful_retention,q3_future_useful_retention,q2_hot_evidence_recall,q3_hot_evidence_recall,q2_answer_accuracy,q3_answer_accuracy,retained_useless_blocks,retention_precision,eviction_regret,promotion_count,eviction_count,churn,cold_blocks_total,cold_bytes_total
attention,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.375,21.375,50.75,5.875,1504.0
frequency,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.375,21.375,50.75,5.875,1504.0
oracle_future_reuse,8,0.822917,0.791667,0.854167,1.0,1.0,1.0,1.0,0.0,1.0,0.177083,29.375,21.375,50.75,2.125,544.0
recency,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.375,21.375,50.75,5.875,1504.0
rmm_like,8,0.458333,0.395833,0.520833,0.5,0.625,0.375,0.5,0.0,1.0,0.541667,30.75,22.75,53.5,4.375,1120.0
task_utility,8,0.458333,0.395833,0.520833,0.5,0.625,0.375,0.5,0.0,1.0,0.541667,30.75,22.75,53.5,4.375,1120.0
